order_date,order_year,order_month,item_category,order_count,item_count,promo_item_count,cust_count,avg_item_revenue,avg_distance,average_item_rate,promo_item_percentage
2023-03-01,2023,3,"Toffee, Fudge & Nougat",1,1,0,1,3.13,1977,1,0
2023-03-02,2023,3,Cookies,8,8,0,8,2.09,2712.5,1,0
2023-03-02,2023,3,null,44,49,0,43,null,2955.73,1.14,0
2023-03-02,2023,3,"Cheese Crackers, Breadsticks & Dipping",10,10,0,10,2.76,4061.4,1,0
2023-03-02,2023,3,Chocolate,19,23,0,18,2.12,3060.78,1.28,0
2023-03-02,2023,3,Crisp & Snacks,121,129,2,113,3.02,3200.6,1.14,0.02
2023-03-02,2023,3,Other Confectionary,43,43,0,41,5.7,2953.65,1.05,0
2023-03-02,2023,3,"Toffee, Fudge & Nougat",2,2,0,2,3.04,5675,1,0
2023-03-03,2023,3,Crisp & Snacks,70,77,2,65,3.26,3316.53,1.18,0.03
2023-03-03,2023,3,Cookies,13,13,0,13,2.26,3268.69,1,0
2023-03-03,2023,3,Other Confectionary,85,85,0,78,5.37,3606.31,1.09,0
2023-03-03,2023,3,Chocolate,37,39,0,36,2.24,3396.87,1.08,0
2023-03-03,2023,3,null,32,32,0,30,null,3713.97,1.07,0
2023-03-03,2023,3,Chocolate & Sweet Spreads,2,2,0,2,3.09,1207,1,0
2023-03-03,2023,3,"Cheese Crackers, Breadsticks & Dipping",2,2,0,2,3.59,4903,1,0
2023-03-03,2023,3,"Toffee, Fudge & Nougat",7,7,0,5,4,1708,1.4,0
2023-03-04,2023,3,null,58,59,2,41,null,4085.93,1.44,0.03
2023-03-04,2023,3,Other Confectionary,98,98,0,87,4.83,2815.63,1.13,0
2023-03-04,2023,3,"Toffee, Fudge & Nougat",3,3,0,3,2.56,3144,1,0
2023-03-04,2023,3,Chocolate & Sweet Spreads,4,4,0,4,3.02,4399.25,1,0
2023-03-04,2023,3,Crisp & Snacks,81,92,5,69,3.01,3945.54,1.33,0.05
2023-03-04,2023,3,Cookies,7,7,0,7,1.97,2176.14,1,0
2023-03-04,2023,3,Chocolate,31,36,0,23,2.45,2548.39,1.57,0
2023-03-04,2023,3,"Cheese Crackers, Breadsticks & Dipping",2,2,0,2,2.46,1305.5,1,0
2023-03-05,2023,3,Other Confectionary,67,67,0,61,5.43,3632.63,1.1,0
2023-03-05,2023,3,Crisp & Snacks,52,56,0,45,3.33,3504.25,1.24,0
2023-03-05,2023,3,Chocolate & Sweet Spreads,4,4,0,4,4.22,2581.25,1,0
2023-03-05,2023,3,Chocolate,34,36,0,31,2.77,3919.17,1.16,0
2023-03-05,2023,3,null,31,32,0,30,null,3993.59,1.07,0
2023-03-05,2023,3,Cookies,5,5,0,5,2.08,2331.6,1,0
2023-03-05,2023,3,"Toffee, Fudge & Nougat",2,2,0,2,1.92,4077.5,1,0
